step,action_type,flush_played,cards_discarded,most_common_suit,most_common_suit_count,joker_purchased,shop_rerolled,joker_sold
0,,,,,,0,0,0
1,,,,,,0,0,0
2,,,,,,0,0,0
3,,,,,,0,0,0
4,Actions.DISCARD_HAND,0,4,Hearts,4,0,0,0
5,,,,,,0,0,0
6,Actions.PLAY_HAND,1,0,Hearts,7,0,0,0
7,,,,,,0,0,0
8,,,,,,0,0,0
9,,,,,,0,0,0
10,Actions.DISCARD_HAND,0,5,Clubs,3,0,0,0
11,,,,,,0,0,0
12,Actions.DISCARD_HAND,0,4,Clubs,4,0,0,0
13,,,,,,0,0,0
14,Actions.PLAY_HAND,1,0,Clubs,5,0,0,0
15,,,,,,1,0,0
16,,,,,,0,0,0
17,,,,,,0,0,0
18,Actions.DISCARD_HAND,0,5,Clubs,3,0,0,0
19,,,,,,0,0,0
20,Actions.DISCARD_HAND,0,4,Hearts,4,0,0,0
21,,,,,,0,0,0
22,Actions.DISCARD_HAND,0,4,Hearts,4,0,0,0
23,,,,,,0,0,0
24,Actions.PLAY_HAND,1,0,Hearts,5,0,0,0
25,,,,,,1,0,0
26,,,,,,0,0,0
